outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
age,Patient characteristics,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
APACHE,Disease severity score,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
CRP,Biomarkers,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
CRRT,Organ dysfunction/support,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
fluid balance,Physiological parameters,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
height,Patient characteristics,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
serum creatinine,Biomarkers,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
sex,Patient characteristics,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
SOFA,Disease severity score,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
temperature,Vital signs,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
weight,Patient characteristics,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
white cell count,Biomarkers,no,NA,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
creatinine clearance,Physiological parameters,yes,CL,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
age,Patient characteristics,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
CRRT,Organ dysfunction/support,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
height,Patient characteristics,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
serum creatinine,Biomarkers,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
sex,Patient characteristics,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
weight,Patient characteristics,no,NA,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
creatinine clearance,Physiological parameters,yes,CL,Roberts,2011,https://doi.org/10.1128%2FAAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
age,Patient characteristics,no,NA,Roos,2006,https://dx.doi.org/10.1093/jac/dkl349,Australia,retrospective PK study,13,no,normal,sepsis,cefepime
APACHE,Disease severity score,no,NA,Roos,2006,https://dx.doi.org/10.1093/jac/dkl349,Australia,retrospective PK study,13,no,normal,sepsis,cefepime
serum creatinine,Biomarkers,no,NA,Roos,2006,https://dx.doi.org/10.1093/jac/dkl349,Australia,retrospective PK study,13,no,normal,sepsis,cefepime
weight,Patient characteristics,no,NA,Roos,2006,https://dx.doi.org/10.1093/jac/dkl349,Australia,retrospective PK study,13,no,normal,sepsis,cefepime
creatinine clearance,Physiological parameters,yes,CL,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
weight,Patient characteristics,yes,V,Roos,2007,https://dx.doi.org/10.1007/s00134-007-0573-7,Australia,prospective PK study,12,no,normal,general ICU,cefpirome
age,Patient characteristics,no,NA,Roos,2007,https://dx.doi.org/10.1007/s00134-007-0573-7,Australia,prospective PK study,12,no,normal,general ICU,cefpirome
APACHE,Disease severity score,no,NA,Roos,2007,https://dx.doi.org/10.1007/s00134-007-0573-7,Australia,prospective PK study,12,no,normal,general ICU,cefpirome
serum creatinine,Biomarkers,no,NA,Roos,2007,https://dx.doi.org/10.1007/s00134-007-0573-7,Australia,prospective PK study,12,no,normal,general ICU,cefpirome
age,Patient characteristics,yes,CL,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
BSA,Patient characteristics,yes,CL,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
height,Patient characteristics,yes,CL,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
weight,Patient characteristics,yes,CL,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
creatinine clearance,Physiological parameters,yes,CL,Roberts,2015,https://dx.doi.org/10.1093/jac/dku564,Australia,prospective PK study,30,no,normal,trauma,cefazolin
sex,Patient characteristics,no,NA,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
creatinine clearance,Physiological parameters,yes,CL,Rohani,2022,https://dx.doi.org/10.1093/jac/dkac245,USA,retrospective PK study,70,no,unclear,HAP,meropenem
age,Patient characteristics,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
BMI,Patient characteristics,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
height,Patient characteristics,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
MODS score,Disease severity score,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
SAPS,Disease severity score,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
sepsis,Organ dysfunction/support,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
serum creatinine,Biomarkers,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
sex,Patient characteristics,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
SOFA,Disease severity score,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Roos,2006,https://dx.doi.org/10.1093/jac/dkl349,Australia,retrospective PK study,13,no,normal,sepsis,cefepime
age,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
burns,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
burns,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
serum albumin,Biomarkers,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
urine output,Physiological parameters,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
weight,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
weight,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Roos,2007,https://dx.doi.org/10.1007/s00134-007-0573-7,Australia,prospective PK study,12,no,normal,general ICU,cefpirome
burns,Patient characteristics,yes,V,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
age,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
burns,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
burns,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
serum albumin,Biomarkers,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
urine output,Physiological parameters,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
weight,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
weight,Patient characteristics,no,NA,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
creatinine clearance,Physiological parameters,yes,CL,Sanches,2022,https://dx.doi.org/10.3390/antibiotics11040434,Brazil,retrospective PK study,24,no,normal,general ICU,piperacillin
CRRT,Organ dysfunction/support,yes,CL,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
age,Patient characteristics,no,NA,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
ECMO,Organ dysfunction/support,no,NA,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
serum creatinine,Biomarkers,no,NA,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
sex,Patient characteristics,no,NA,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
weight,Patient characteristics,no,NA,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
CRRT parameters,Extracorporeal parameters,yes,k,Shotwell,2016,https://doi.org/10.2215/cjn.10260915,USA,prospective PK study,68,RRT,impaired,CRRT,piperacillin
weight,Patient characteristics,yes,V,Shotwell,2016,https://doi.org/10.2215/cjn.10260915,USA,prospective PK study,68,RRT,impaired,CRRT,piperacillin
age,Patient characteristics,no,NA,Shotwell,2016,https://doi.org/10.2215/cjn.10260915,USA,prospective PK study,68,RRT,impaired,CRRT,piperacillin
sex,Patient characteristics,no,NA,Shotwell,2016,https://doi.org/10.2215/cjn.10260915,USA,prospective PK study,68,RRT,impaired,CRRT,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Selig,2022,https://dx.doi.org/10.3390/antibiotics11050618,USA,retrospective PK study,19,no,unclear,trauma,piperacillin
weight,Patient characteristics,yes,V,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
APACHE,Disease severity score,no,NA,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
BMI,Patient characteristics,no,NA,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
serum albumin,Biomarkers,no,NA,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
serum creatinine,Biomarkers,no,NA,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
SOFA,Disease severity score,no,NA,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
APACHE,Disease severity score,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
BMI,Patient characteristics,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
BSA,Patient characteristics,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
CRRT parameters,Extracorporeal parameters,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
CRRT parameters,Extracorporeal parameters,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
CRRT parameters,Extracorporeal parameters,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
CRRT parameters,Extracorporeal parameters,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
height,Patient characteristics,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
serum albumin,Biomarkers,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
serum creatinine,Biomarkers,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
sex,Patient characteristics,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
SOFA,Disease severity score,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
weight,Patient characteristics,no,NA,Sime,2020,https://dx.doi.org/10.1128/AAC.01655-19,Australia,prospective PK study,6,RRT,impaired,CRRT,ceftolozane
creatinine clearance,Physiological parameters,yes,CL,Selig,2022,https://dx.doi.org/10.1111/bcp.15138,USA,retrospective PK study,23,RRT,impaired,burns,meropenem
weight,Patient characteristics,yes,V,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
CSF,Other,yes,V,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
age,Patient characteristics,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
APACHE,Disease severity score,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
CSF,Other,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
CSF,Other,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
height,Patient characteristics,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
serum albumin,Biomarkers,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
serum creatinine,Biomarkers,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
sex,Patient characteristics,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
SOFA,Disease severity score,no,NA,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
creatinine clearance,Physiological parameters,yes,CL,Shekar,2014,https://dx.doi.org/10.1186/s13054-014-0565-2,Australia,prospective PK study,11,"ECMO, RRT",impaired,ECMO,meropenem
BP,Vital signs,yes,CL,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Sime,2019,https://dx.doi.org/10.1128/AAC.01265-19,Australia,prospective PK study,12,no,normal,general ICU,ceftolozane
weight,Patient characteristics,yes,V,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
age,Patient characteristics,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
APACHE,Disease severity score,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
fluid balance,Physiological parameters,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
mechanical ventilation,Organ dysfunction/support,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
serum albumin,Biomarkers,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
serum bilirubin,Biomarkers,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
sex,Patient characteristics,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
SOFA,Disease severity score,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
vasopressor use,Organ dysfunction/support,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Sime,2021,https://dx.doi.org/10.1128/AAC.01698-20,Australia,prospective PK study,10,no,normal,EVD,ceftolozane
burns,Patient characteristics,no,NA,Swartling,2022,https://dx.doi.org/10.1007/s00228-021-03218-6,Sweden,prospective PK study,51,no,normal,burns,cefotaxime
day of antibiotic therapy,Other,no,NA,Swartling,2022,https://dx.doi.org/10.1007/s00228-021-03218-6,Sweden,prospective PK study,51,no,normal,burns,cefotaxime
SAPS,Disease severity score,no,NA,Swartling,2022,https://dx.doi.org/10.1007/s00228-021-03218-6,Sweden,prospective PK study,51,no,normal,burns,cefotaxime
weight,Patient characteristics,no,NA,Swartling,2022,https://dx.doi.org/10.1007/s00228-021-03218-6,Sweden,prospective PK study,51,no,normal,burns,cefotaxime
APACHE,Disease severity score,no,NA,Tamme,2015,https://dx.doi.org/10.1002/jcph.432,Estonia,prospective PK study,9,RRT,impaired,CRRT,doripenem
CRRT parameters,Extracorporeal parameters,no,NA,Tamme,2015,https://dx.doi.org/10.1002/jcph.432,Estonia,prospective PK study,9,RRT,impaired,CRRT,doripenem
CRRT parameters,Extracorporeal parameters,no,NA,Tamme,2015,https://dx.doi.org/10.1002/jcph.432,Estonia,prospective PK study,9,RRT,impaired,CRRT,doripenem
CRRT parameters,Extracorporeal parameters,no,NA,Tamme,2015,https://dx.doi.org/10.1002/jcph.432,Estonia,prospective PK study,9,RRT,impaired,CRRT,doripenem
serum creatinine,Biomarkers,no,NA,Tamme,2015,https://dx.doi.org/10.1002/jcph.432,Estonia,prospective PK study,9,RRT,impaired,CRRT,doripenem
creatinine clearance,Physiological parameters,yes,CL,Stein,2019,https://dx.doi.org/10.1089/sur.2018.141,USA,prospective PK study,10,no,normal,general ICU,ceftazidime
vasopressor use,Organ dysfunction/support,yes,CL,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
age,Patient characteristics,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
location,Other,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
mechanical ventilation,Organ dysfunction/support,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
serum albumin,Biomarkers,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
sex,Patient characteristics,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
weight,Patient characteristics,no,NA,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
creatinine clearance,Physiological parameters,yes,CL,Sukarnjanaset,2019,https://dx.doi.org/10.1007/s10928-019-09633-8,Thailand,prospective PK study,48,no,normal,general ICU,piperacillin
indwelling catheter,Other,yes,V,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
diuretic use,Other,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
fluid balance,Physiological parameters,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
sepsis,Organ dysfunction/support,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
sepsis,Organ dysfunction/support,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
serum albumin,Biomarkers,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Swartling,2022,https://dx.doi.org/10.1007/s00228-021-03218-6,Sweden,prospective PK study,51,no,normal,burns,cefotaxime
weight,Patient characteristics,yes,V,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
age,Patient characteristics,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
APACHE,Disease severity score,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
BMI,Patient characteristics,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
height,Patient characteristics,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
serum albumin,Biomarkers,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
serum creatinine,Biomarkers,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
sex,Patient characteristics,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
SOFA,Disease severity score,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
vasopressor use,Organ dysfunction/support,no,NA,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Thuy,2018,https://dx.doi.org/10.29090/psa.2018.04.017.0042,Vietnam,prospective PK study,30,no,normal,pneumonia,meropenem
weight,Patient characteristics,yes,V,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
age,Patient characteristics,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
ethnicity,Patient characteristics,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
serum albumin,Biomarkers,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
sex,Patient characteristics,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
SOFA,Disease severity score,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
vasopressor use,Organ dysfunction/support,no,NA,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Truong,2022,https://dx.doi.org/10.1128/aac.00321-22,Vietnam,prospective PK study,27,no,normal,general ICU,meropenem
BMI,Patient characteristics,yes,CL,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
age,Patient characteristics,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
